2024-11-06T12:12:50:519 [warning]: There is no GitLab account available with access to suggestions
2024-11-06T12:12:50:563 [info]: Extracted urls: []
2024-11-06T12:12:50:588 [info]: Found 0 projects for urls: []
2024-11-06T12:12:50:589 [warning]: There is no GitLab account available with access to suggestions
2024-11-06T12:13:08:764 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:09:766 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:10:775 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:11:775 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:12:780 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:13:781 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:14:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:15:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:16:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:17:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:18:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:19:497 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:19:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:20:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:21:782 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:22:783 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:23:783 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:24:783 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:25:783 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:26:784 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:27:784 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:28:785 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:29:786 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:30:787 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:31:788 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:32:788 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:33:789 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:34:789 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:35:790 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:36:790 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:37:790 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:38:790 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:39:790 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:40:790 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:41:791 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:42:792 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:43:794 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:44:795 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:45:795 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:46:796 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:47:797 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:48:797 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:49:497 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:49:798 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:50:799 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:51:801 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:52:802 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:53:803 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:54:804 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:55:804 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:56:805 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:57:805 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:58:805 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:13:59:806 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:00:807 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:01:807 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:02:808 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:03:808 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:04:809 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:05:809 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:06:810 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:07:810 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:08:811 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:09:811 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:10:812 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:11:812 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:12:813 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:13:815 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:14:815 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:15:816 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:16:816 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:17:817 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:18:817 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:19:497 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:19:818 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:20:819 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:21:820 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:22:821 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:23:822 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:24:825 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:25:826 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:26:827 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:27:829 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:28:831 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:29:832 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:30:832 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:31:833 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:32:833 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:33:834 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:34:836 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:35:837 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:36:837 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:37:839 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:38:839 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:39:840 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:40:841 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:41:842 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:42:843 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:43:844 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:44:844 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:45:845 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:46:846 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:47:847 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:48:847 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:49:497 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:49:847 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:50:847 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:51:849 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:52:851 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:53:852 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:54:855 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:55:855 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:56:855 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:57:855 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:58:856 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:14:59:857 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:00:858 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:01:858 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:02:859 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:03:860 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:04:868 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:05:869 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:06:870 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:07:870 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:08:871 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:09:872 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:10:872 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:11:873 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:12:874 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:13:876 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:14:877 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:15:877 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:16:879 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:17:880 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:18:880 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:19:498 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:19:881 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:20:883 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:21:885 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:22:886 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:23:887 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:24:888 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:25:889 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:26:890 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:27:892 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:28:892 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:29:893 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:30:894 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:31:894 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:32:895 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:33:896 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:34:897 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:35:897 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:36:898 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:37:899 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:38:900 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:39:901 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:40:902 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:41:902 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:42:902 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:43:903 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:44:904 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:45:905 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:46:905 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:47:905 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:48:905 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:49:499 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:49:905 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:50:905 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:51:906 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:52:907 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:53:908 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:54:909 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:55:910 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:56:911 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:57:911 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:58:913 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:15:59:914 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:00:915 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:01:917 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:02:919 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:03:921 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:04:923 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:05:924 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:06:925 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:07:927 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:08:927 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:09:928 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:10:929 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:11:929 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:12:930 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:13:930 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:14:931 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:15:932 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:16:933 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:17:933 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:18:934 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:19:501 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:19:935 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:20:935 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:21:934 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:22:935 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:23:936 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
2024-11-06T12:16:24:936 [warning]: GitExtensionWrapper is missing repository for file:///home/marion
